mmsi,max_jump_km
219009815,71.7
219009846,5.4
219010032,2.2
219010079,49.7
219010183,155.0
219010246,5.4
219010247,76.0
219010273,119.1
219010639,16.0
219010706,35.7
219010799,114.5
219010818,4.0
219010921,34.0
219011032,225.5
219011038,123.1
219011136,384.8
219011166,55.9
219011253,5.3
219011277,132.7
219011376,63.7
219011409,202.5
219011535,2.0
219011538,19.3
219011882,90.4
219011922,241.1
219012062,15.5
219012073,294.9
219012076,13.1
219012351,154.5
219012459,16.3
219012561,45.0
219012789,243.6
219012894,9.8
219012966,2.1
219012969,8.9
219013073,2.1
219013233,10.3
219013319,56.9
219013391,105.8
219013606,8.3
219013667,6.4
219013692,24.8
219014011,15.6
219014078,28.5
219014244,295.9
219014249,87.5
219014295,4.7
219014299,494.6
219014309,45.6
219014355,30.1
219014416,17.8
219014427,42.6
219014435,99.3
219014523,12.4
219014559,55.1
219014597,27.8
219014715,59.6
219014727,39.0
219014875,10.8
219014974,3.1
219015153,25.9
219015227,2.3
219015298,31.1
219015321,9.8
219015344,101.0
219015373,30.3
219015388,215.2
219015403,53.3
219015425,3.0
219015442,3.0
219015595,2.1
219015688,41.9
219015822,6.6
219016153,37.0
219016289,26.4
219016357,31.0
219016397,4.1
219016501,7.0
219016555,9.8
219016571,2.2
219016645,8.5
219016665,169.2
219016709,11.4
219016741,7.5
219016759,589.6
219016781,4.5
219016806,5.5
219016827,14.0
219016832,648.4
219016835,10.7
219016873,2.3
219016899,116.2
219016938,3.2
219017025,8.3
219017033,159.1
219017081,365.9
219017085,38.1
219017151,144.8
219017325,432.2
219017464,35.2
219017488,24.6
219017525,39.7
219017539,11.2
219017554,2.5
219017609,79.0
219017622,78.0
219017639,19.1
219017684,148.4
219017717,12.0
219017802,79.3
219017917,59.3
219018172,59.7
219018228,291.3
219018246,155.5
219018254,15.9
219018269,314.1
219018271,46.4
219018272,17.5
219018343,90.2
219018379,25.2
219018405,10.8
219018408,53.8
219018492,3.7
219018494,3.3
219018499,4.4
219018501,616.5
219018518,50.0
219018537,6.3
219018616,393.7
219018655,4.0
219018692,613.8
219018765,500.4
219018833,327.0
219018851,147.5
219018864,127.9
219018892,15.6
219018902,249.0
219018951,131.4
219018986,96.2
219019010,6.3
219019023,3.2
219019024,76.3
219019032,2.8
219019039,65.2
219019048,52.2
219019094,39.9
219019097,21.2
219019107,67.9
219019145,238.3
219019208,314.0
219019228,47.3
219019252,38.9
219019303,6.7
219019347,8.3
219019354,107.8
219019358,29.1
219019361,136.8
219019368,65.7
219019384,16.1
219019407,88.1
219019444,7.8
219019472,30.3
219019483,33.3
219019523,7.6
219019529,99.6
219019541,10.9
219019831,62.5
219019852,388.7
219019853,5.3
219019887,2.4
219019946,122.6
219019954,149.3
219019964,20.2
219019967,123.8
219019989,48.6
219020081,46.8
219020084,23.2
219020102,2.3
219020118,13.9
219020139,42.3
219020143,2.5
219020149,4.5
219020150,127.1
219020195,49.7
219020215,2.9
219020233,344.8
219020333,6.8
219020368,115.8
219020441,14.3
219020453,72.8
219020470,85.7
219020497,6.5
219020533,471.2
219020566,13.9
219020583,53.9
219020624,42.2
219020654,20.5
219020678,3.3
219020728,54.5
219020740,34.5
219020790,323.5
219020849,91.6
219020876,74.8
219020896,5.7
219020897,47.1
219020924,3.4
219020926,39.6
219020994,39.0
219021000,6.8
219021015,33.3
219021076,34.7
219021078,63.2
219021114,74.8
219021163,10.1
219021176,5.8
219021181,18.2
219021185,7.9
219021219,75.2
219021225,318.0
219021235,13.2
219021238,32.1
219021241,2.5
219021317,6.7
219021388,135.6
219021393,59.7
219021399,27.6
219021408,3.1
219021449,9.1
219021494,67.1
219021597,32.5
219021673,5.1
219021674,81.5
219021734,2.4
219021747,5.6
219021756,49.5
219021837,38.4
219021870,20.6
219021883,73.0
219021991,28.0
219022011,60.8
219022126,57.9
219022140,5.5
219022151,13.1
219022199,4.4
219022219,62.3
219022222,121.1
219022256,132.3
219022281,2.2
219022282,37.1
219022287,155.9
219022300,474.8
219022303,18.6
219022317,2.3
219022424,21.1
219022430,217.8
219022476,4.9
219022481,7.9
219022550,214.3
219022605,2.6
219022689,2.9
219022721,2.4
219022797,51.3
219022836,28.2
219022862,68.3
219022874,30.2
219022885,3.1
219022896,134.9
219022903,108.2
219023043,10.1
219023054,56.8
219023095,40.3
219023186,2.1
219023237,54.0
219023238,46.2
219023369,23.5
219023372,91.2
219023461,26.8
219023468,3.7
219023496,17.6
219023543,7.4
219023599,28.1
219023623,3.1
219023630,12.8
219023700,12.4
219023703,2.4
219023759,161.5
219023766,2.9
219023780,2.2
219023807,6.6
219023811,53.2
219023833,2.2
219023870,52.5
219023911,6.2
219024034,117.8
219024176,137.8
219024194,305.7
219024196,4.9
219024252,97.7
219024379,4.7
219024389,6.7
219024411,106.7
219024550,6.2
219024553,87.7
219024586,272.1
219024597,49.9
219024612,34.4
219024631,20.7
219024651,29.1
219024653,99.2
219024654,7.7
219024676,14.8
219024708,52.8
219024710,3.1
219024768,2.1
219024787,3.3
219024805,4.7
219024858,10.4
219024899,4.5
219024915,2.3
219024948,11.5
219025008,2.5
219025126,4.1
219025150,3.1
219025212,31.4
219025221,30.3
219025260,355.6
219025266,2.6
219025311,20.1
219025352,7.8
219025392,5.4
219025509,43.9
219025551,22.7
219025641,2.2
219025675,3.7
219025688,28.3
219025708,2.5
219025730,12.3
219025731,56.3
219025735,15.1
219025896,26.0
219025910,5.0
219025938,15.7
219025962,6.5
219025981,2.6
219025998,328.3
219026000,16.0
219026004,4.2
219026019,12.2
219026107,17.6
219026117,196.5
219026129,138.0
219026131,5.4
219026147,853.9
219026172,27.1
219026179,3.1
219026197,52.2
219026234,2.8
219026251,11.9
219026347,2.0
219026375,6.3
219026443,376.9
219026480,5.7
219026489,390.0
219026490,386.4
219026492,5.3
219026522,33.4
219026534,4.8
219026558,417.7
219026611,2.7
219026641,2.4
219026722,9.8
219026816,25.6
219026863,5.9
219026883,4.8
219026989,10.5
219027006,163.2
219027072,7.0
219027084,168.5
219027136,5.0
219027256,7.3
219027309,5.2
219027399,67.4
219027405,36.3
219027413,4.4
219027463,49.4
219027540,10.1
219027624,3.2
219027656,25.1
219027666,4.2
219027722,27.9
219027788,6.2
219027828,24.5
219027864,4.1
219027915,2.1
219027963,77.0
219027992,57.1
219027999,116.9
219028031,12.1
219028043,89.2
219028060,2.9
219028070,6.2
219028115,265.4
219028116,212.6
219028117,45.6
219028227,2.7
219028267,27.3
219028328,22.4
219028345,2.8
219028354,2.1
219028358,2.3
219028505,9.7
219028699,8.2
219028720,6.4
219028798,13.2
219028839,5.5
219028973,154.2
219028996,247.6
219029049,12.3
219029163,49.8
219029239,2.6
219029250,18.0
219029274,4.0
219029317,7.6
219029349,29.4
219029383,8.2
219029563,357.1
219029575,37.0
219029577,34.1
219029587,4.0
219029602,6.8
219029647,39.1
219029682,7.4
219029690,151.9
219029698,29.3
219029699,9.0
219029700,2.1
219029703,9.6
219029704,10.4
219029705,5.6
219029706,9.9
219029707,9.8
219029708,30.8
219029722,285.1
219029769,113.6
219029785,20.7
219029793,5.7
219029824,5.1
219029825,23.8
219029880,239.0
219030011,5.0
219030024,2.9
219030025,4.3
219030027,3.5
219030118,3.7
219030161,3.2
219030227,40.7
219030264,2.7
219030293,48.4
219030331,4.4
219030335,4.7
219030540,4.9
219030600,363.6
219030639,5.7
219030885,7.6
219030923,2.1
219030930,173.3
219030968,24.9
219031069,14.7
219031105,2.8
219031111,261.9
219031135,295.0
219031214,24.0
219031310,3.9
219031311,2.6
219031325,102.3
219031361,139.8
219031423,429.7
219031437,3.1
