mmsi,reason,span_km,ping_count,name,type
210220000,stationary,0.001,2,MMSI 210220000,other
210585000,stationary,0.002,4,MMSI 210585000,other
210931500,stationary,0.001,2,Novah,other
211000822,stationary,0.011,2,MMSI 211000822,other
211001170,stationary,0.007,8,Horn,other
211001230,stationary,0.002,4,Furuno Service,other
211002150,stationary,0.006,2,MMSI 211002150,other
211003520,stationary,0.002,6,Sam Service,passenger
211003530,stationary,0.014,70,MMSI 211003530,other
211003531,stationary,0.006,10,MMSI 211003531,other
211024842,stationary,0.0,2,Ps Visurgis,other
211037224,stationary,0.07,10,Yuna,other
211100690,stationary,0.006,4,Maestra,other
211103990,stationary,0.06,10,MMSI 211103990,other
211105310,stationary,0.004,2,Shahin,other
211106910,stationary,0.005,6,Magdalene 1,passenger
211106920,stationary,0.003,2,MMSI 211106920,other
211108770,stationary,0.008,4,Iona,other
211109840,stationary,0.085,4,MMSI 211109840,other
211109880,stationary,0.001,2,Nessie,other
211111111,stationary,0.007,2,MMSI 211111111,other
211113000,stationary,0.006,6,Phantom,other
211114744,stationary,0.004,4,Teramba,other
211118990,stationary,0.0,2,Seestern,pleasure
211119330,stationary,0.002,4,Lunni,other
211121290,stationary,0.007,2,Kleine Brise,other
211122280,stationary,0.007,6,MMSI 211122280,other
211125000,stationary,0.0,2,Freyja,other
211126080,stationary,0.003,2,Maria,fishing
211126910,stationary,0.003,4,Ninja,pleasure
211129070,stationary,0.083,2,Argo,pleasure
211131170,stationary,0.001,2,Xanten,other
211131260,stationary,0.004,2,Sperber,other
211131730,stationary,0.003,4,MMSI 211131730,other
211133860,stationary,0.01,2,MMSI 211133860,other
211141390,stationary,0.003,10,Grey Matter,other
211142890,stationary,0.01,2,MMSI 211142890,other
211146130,stationary,0.008,6,Luehe,other
211156010,stationary,0.013,10,Sy Cocoon,pleasure
211160320,stationary,0.006,4,Luettje Luv,other
211160820,stationary,0.003,4,Heinemann Ii,pleasure
211162070,stationary,0.008,6,MMSI 211162070,other
211164480,stationary,0.003,2,Schnattchen,other
211176800,stationary,0.003,4,Dreamer,other
211178950,stationary,0.001,2,Hannah Nydahl,other
211178970,stationary,0.079,2,Nadir,other
211179870,stationary,0.001,2,MMSI 211179870,pleasure
211180170,stationary,0.108,2,Relationship V,other
211180750,stationary,0.005,12,Dorado,other
211183000,stationary,0.199,4,Wencke,other
211184800,stationary,0.009,34,Tweela,pleasure
211189010,stationary,0.002,2,Lycka,other
211191500,stationary,0.0,2,MMSI 211191500,other
211192600,stationary,0.035,26,MMSI 211192600,other
211192860,stationary,0.011,110,Muffel,other
211195200,stationary,0.0,2,Riva,pleasure
211199790,stationary,0.001,2,Barakita,pleasure
211201750,stationary,0.003,2,Svemax,other
211201810,stationary,0.003,2,Black Kiwi,other
211208040,stationary,0.0,2,Neo Samana,other
211211211,stationary,0.156,2,Tu,wing_in_ground
211212470,stationary,0.002,124,MMSI 211212470,other
211213880,stationary,0.002,2,MMSI 211213880,other
211214890,stationary,0.003,2,Meerzeit,other
211215130,stationary,0.002,2,MMSI 211215130,pleasure
211216340,stationary,0.009,2,Frankfurt,other
211216410,stationary,0.003,2,MMSI 211216410,other
211216890,stationary,0.006,2,H.C.Hagemann 1,other
211220470,stationary,0.007,10,MMSI 211220470,other
211223540,stationary,0.011,480,MMSI 211223540,other
211223620,stationary,0.006,10,MMSI 211223620,other
211224160,stationary,0.0,2,Baby June,other
211225380,stationary,0.004,2,Kehrheim,pleasure
211225880,stationary,0.003,4,Last Minute,pleasure
211226820,stationary,0.002,2,MMSI 211226820,other
211227410,stationary,0.027,44,Schaarhoern,other
211228220,stationary,0.041,2,Cora,tanker
211228540,stationary,0.013,58,Searoad I,other
211230380,stationary,0.023,8,Tigger,pleasure
211230850,stationary,0.002,6,Y407,other
211230910,stationary,0.052,152,MMSI 211230910,other
211232150,stationary,0.006,32,Veritas Ii,pleasure
211233260,stationary,0.03,2,Pi,other
211234230,stationary,0.007,58,My Jassj,other
211237210,stationary,0.002,10,Viking Dagur,other
211243210,stationary,0.003,2,Ms Oldenburg,other
211243240,stationary,0.002,8,MMSI 211243240,other
211245360,stationary,0.0,2,MMSI 211245360,other
211246180,stationary,0.13,48,MMSI 211246180,other
211246600,stationary,0.008,22,MMSI 211246600,other
211249950,stationary,0.022,2,Kalani,pleasure
211252240,stationary,0.003,2,Ulla  Iii,other
211252540,stationary,0.012,50,MMSI 211252540,other
211263300,stationary,0.0,2,Chili,other
211263800,stationary,0.009,8,Hochschule Wismar,other
211265970,stationary,0.006,8,Flachmann 2,other
211269730,stationary,0.003,2,MMSI 211269730,other
211271540,stationary,0.158,12,Hanna,other
211273160,stationary,0.003,2,Aglaia,pleasure
211286830,stationary,0.12,8,MMSI 211286830,pleasure
211287370,stationary,0.001,2,MMSI 211287370,other
211287960,stationary,0.011,4,Milani,pleasure
211288060,stationary,0.0,2,Beberich,pleasure
211290390,stationary,0.001,2,MMSI 211290390,other
211295740,stationary,0.089,2,MMSI 211295740,other
211295810,stationary,0.006,24,Early Bird,other
211300470,stationary,0.002,4,Oestersjoen,other
211300600,stationary,0.012,16,Skamander,other
211304080,stationary,0.001,2,MMSI 211304080,other
211307920,stationary,0.011,206,Bonito,pleasure
211309570,stationary,0.011,18,Ager,other
211310840,stationary,0.003,6,Thetis,other
211315520,stationary,0.006,4,Elbe 1,other
211315831,stationary,0.132,4,Gyda,other
211317590,stationary,0.007,10,MMSI 211317590,other
211323640,stationary,0.052,2,Yucabay,other
211325100,stationary,0.026,14,Beaufort,other
211325290,stationary,0.027,4,MMSI 211325290,other
211326240,stationary,0.013,2,Pivo 2,other
211331480,stationary,0.0,2,De Vrouw Christina,pleasure
211337230,stationary,0.152,4,Reinhold Deymann 1,other
211338930,stationary,0.0,2,Sy Felix,other
211341110,stationary,0.001,2,MMSI 211341110,other
211342220,stationary,0.183,6,MMSI 211342220,other
211342670,stationary,0.0,2,Anna Julia,other
211344720,stationary,0.008,148,Kieler Sprotte,other
211345940,stationary,0.001,2,My Kaept N P,pleasure
211346400,stationary,0.0,2,MMSI 211346400,other
211346660,stationary,0.002,18,MMSI 211346660,pleasure
211348930,stationary,0.013,2,MMSI 211348930,other
211351130,stationary,0.003,6,Arc En Ciel,other
211361360,stationary,0.004,2,Volonte,other
211362680,stationary,0.012,30,My Stroertebecker,other
211370650,stationary,0.006,6,Kima,other
211372320,stationary,0.002,2,Emylou,other
211378560,stationary,0.002,2,Dicki,other
211383350,stationary,0.002,2,Shannon,other
211386770,stationary,0.009,78,Pacific,other
211387760,stationary,0.003,2,White Pearl,other
211388600,stationary,0.016,20,MMSI 211388600,other
211390630,stationary,0.0,2,Knuff,other
211392020,stationary,0.059,6,Wsp1,other
211394690,stationary,0.001,2,MMSI 211394690,other
211394840,stationary,0.004,2,Marco-Polo,other
211400990,stationary,0.001,2,Pegasus,other
211402980,stationary,0.002,2,Segelohr,other
211403800,stationary,0.007,2,Zelda,other
211403870,stationary,0.011,2,Yukeem,other
211404490,stationary,0.001,2,Pyxis,pleasure
211410960,stationary,0.003,4,Gaia,pleasure
211422030,stationary,0.005,2,Quiet Storm,pleasure
211425380,stationary,0.001,2,MMSI 211425380,other
211437260,stationary,0.007,38,MMSI 211437260,other
211440220,stationary,0.001,2,Bonavista,other
211448520,stationary,0.008,6,Aller,other
211454080,stationary,0.006,4,Trainer,pleasure
211456240,stationary,0.002,2,MMSI 211456240,other
211457790,stationary,0.006,6,MMSI 211457790,other
211459430,stationary,0.004,4,MMSI 211459430,other
211461030,stationary,0.004,8,MMSI 211461030,other
211461710,stationary,0.003,4,MMSI 211461710,other
211464260,stationary,0.014,12,Weser Pilot,other
211466010,stationary,0.122,12,Saltkrokan,pleasure
211469610,stationary,0.002,2,MMSI 211469610,other
211470570,stationary,0.001,2,MMSI 211470570,other
211470760,stationary,0.009,12,Kantara,pleasure
211471190,stationary,0.011,2,Atlantic,other
211471910,stationary,0.0,2,MMSI 211471910,other
211473210,stationary,0.0,2,MMSI 211473210,other
211474010,stationary,0.001,4,MMSI 211474010,other
211474020,stationary,0.011,4,Ms Riehe,other
211479010,stationary,0.005,10,Atlanta,pleasure
211490880,stationary,0.035,70,Eb Kietz,other
211494810,stationary,0.18,2,MMSI 211494810,other
211496020,stationary,0.003,2,Asterix,other
211497750,stationary,0.012,12,MMSI 211497750,other
211499290,stationary,0.004,6,Ellen,other
211499870,stationary,0.001,2,MMSI 211499870,other
211505940,stationary,0.001,2,Werra,other
211507170,stationary,0.0,4,Granit,other
211508440,stationary,0.012,2,MMSI 211508440,other
211510860,stationary,0.003,4,MMSI 211510860,other
211511120,stationary,0.03,2,MMSI 211511120,other
211511240,stationary,0.005,4,MMSI 211511240,other
211511370,stationary,0.009,2,MMSI 211511370,other
211512340,stationary,0.001,2,MMSI 211512340,other
211513450,stationary,0.0,2,MMSI 211513450,other
211514060,stationary,0.0,2,Lemy,other
211514110,stationary,0.003,2,MMSI 211514110,other
211514890,stationary,0.005,22,MMSI 211514890,other
211516750,stationary,0.003,2,MMSI 211516750,other
211516780,stationary,0.001,2,MMSI 211516780,other
211517160,stationary,0.003,2,Arison,cargo
211517490,stationary,0.135,4,MMSI 211517490,other
211517620,stationary,0.006,4,MMSI 211517620,other
211519320,stationary,0.012,2,Samaro,other
211521080,stationary,0.003,2,MMSI 211521080,other
211521860,stationary,0.005,4,Casa Maris,pleasure
211522500,stationary,0.004,2,MMSI 211522500,other
211522820,stationary,0.001,4,Josefin,other
211529560,stationary,0.012,12,Hh 2015,cargo
211529610,stationary,0.088,20,Hh 93,dredger
211529690,stationary,0.017,852,Frisia Xiv,other
211530830,stationary,0.075,2,Hanni,other
211531070,stationary,0.0,4,MMSI 211531070,other
211534430,stationary,0.008,4,Xanadu,other
211534580,stationary,0.0,2,MMSI 211534580,other
211537030,stationary,0.006,2,Mare Hh,other
211537840,stationary,0.102,18,Sy Serefe,other
211538230,stationary,0.014,130,Lady,pleasure
211538260,stationary,0.001,2,MMSI 211538260,other
211538940,stationary,0.001,2,Apprenticeship,pleasure
211540030,stationary,0.014,52,Victoria,pleasure
211540690,stationary,0.002,2,MMSI 211540690,other
211542050,stationary,0.019,2,MMSI 211542050,other
211542130,stationary,0.007,12,Koenig Wasa,other
211543840,stationary,0.046,2,MMSI 211543840,other
