incident_id,vessel_mmsi,vessel_name,vessel_type,signal_type,gap_start_utc,gap_end_utc,gap_hours,last_seen_lat,last_seen_lon,reappear_lat,reappear_lon,gap_midpoint_lat,gap_midpoint_lon
INC-2024-11-18,249637000,TZAREVNA,Cargo,ais_dark_approach,,,,55.49178,15.00059,55.49178,15.00059,55.49178,15.00059
INC-2024-11-18,249803000,NIKE,Tanker,ais_dark_approach,,,,55.87748,15.00004,55.87748,15.00004,55.87748,15.00004
INC-2024-11-18,253377000,FAROMAR,Cargo,ais_dark_approach,,,,55.89877,15.93749,55.89877,15.93749,55.89877,15.93749
INC-2024-11-18,253383000,ROCAMAR,Cargo,ais_dark_approach,,,,55.48901,15.00015,55.48901,15.00015,55.48901,15.00015
INC-2024-11-18,255802870,FL STOROE,Cargo,ais_dark_approach,,,,55.49947,15.00025,55.49947,15.00025,55.49947,15.00025
INC-2024-11-18,255803470,MSC HOUSTON V,Cargo,ais_dark_approach,,,,55.48759,15.00042,55.48759,15.00042,55.48759,15.00042
INC-2024-11-18,255805860,RUBINA,Cargo,ais_dark_approach,,,,55.86004,15.92802,55.86004,15.92802,55.86004,15.92802
INC-2024-11-18,255805881,NAVITA,Cargo,ais_dark_approach,,,,55.9159,16.06004,55.9159,16.06004,55.9159,16.06004
INC-2024-11-18,255805887,SOMMEN,Cargo,ais_dark_approach,,,,55.49501,15.00077,55.49501,15.00077,55.49501,15.00077
INC-2024-11-18,255805980,RIX PARTNER,Other,ais_dark_approach,,,,55.51734,15.00017,55.51734,15.00017,55.51734,15.00017
INC-2024-11-18,255806060,JOHN AUGUSTUS ESSBER,Tanker,ais_dark_approach,,,,55.42574,15.00066,55.42574,15.00066,55.42574,15.00066
INC-2024-11-18,255806151,GISELA ESSBERGER,Tanker,ais_dark_approach,,,,55.85495,15.84407,55.85495,15.84407,55.85495,15.84407
INC-2024-11-18,255806257,VALENTINA,Cargo,ais_dark_approach,,,,55.86757,15.96824,55.86757,15.96824,55.86757,15.96824
INC-2024-11-18,255806300,ENERGY,Cargo,ais_blackout,2024-11-16T03:49:09+01:00,2024-11-18T17:06:18+01:00,61.29,54.71731,15.7826,55.60817,16.31602,55.16274,16.04931
INC-2024-11-18,255806352,JSP ROVER,Cargo,ais_dark_approach,,,,55.5047,15.00019,55.5047,15.00019,55.5047,15.00019
INC-2024-11-18,255806390,BUGOE,Cargo,ais_dark_approach,,,,55.49124,15.00074,55.49124,15.00074,55.49124,15.00074
INC-2024-11-18,255806433,VESTVIND,Cargo,ais_dark_approach,,,,55.87172,15.92695,55.87172,15.92695,55.87172,15.92695
INC-2024-11-18,255806443,REIDERDIJK,Cargo,ais_dark_approach,,,,54.346,15.12884,54.346,15.12884,54.346,15.12884
INC-2024-11-18,255806476,SKALAR,Cargo,ais_dark_approach,,,,54.64257,15.00172,54.64257,15.00172,54.64257,15.00172
INC-2024-11-18,255815000,HAFNIA SEA,Cargo,ais_blackout,2024-11-16T18:40:10+01:00,2024-11-18T02:02:22+01:00,31.37,55.61933,15.00032,55.48711,15.00076,55.55322,15.00054
INC-2024-11-18,255815000,HAFNIA SEA,Cargo,ais_blackout,2024-11-18T05:06:36+01:00,2024-11-20T16:53:27+01:00,59.78,55.84959,16.09885,55.88448,15.94273,55.86704,16.02079
INC-2024-11-18,255891000,JOHN T. ESSBERGER,Tanker,ais_dark_approach,,,,55.50222,15.00071,55.50222,15.00071,55.50222,15.00071
INC-2024-11-18,255909640,WILSON FLEX II,Cargo,ais_dark_approach,,,,54.64477,15.00006,54.64477,15.00006,54.64477,15.00006
INC-2024-11-18,255915599,ECO TRUST,Cargo,ais_dark_approach,,,,55.88057,15.94918,55.88057,15.94918,55.88057,15.94918
INC-2024-11-18,255915626,SAAREMAA,Cargo,ais_dark_approach,,,,55.49294,15.00049,55.49294,15.00049,55.49294,15.00049
